soc_code_2019,title,task_comp_nat,task_comp_ut,freq_sum_eco,importance,relevance,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category,a_med_nat,h_med_nat,a_med_ut,h_med_ut,ai_task_comp_nat,ai_task_comp_ut,freq_sum_ai,code_changed,title_changed,code_or_title_changed,code_and_title_changed,pct_automated_nat,pct_automated_ut,people_automated_nat,people_automated_ut,eco_value_nat,eco_value_ut,ut_share_of_nat,ut_concentration_index
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",1319669.5139846154,10134.295346153845,18.42599153846154,3.928235294117647,85.17294117647059,71620.0,550.0,11,Management Occupations,56270.0,27.05,59400.0,28.56,557118.6880625641,4278.347925641026,15.223460416666667,False,True,True,False,42.21653089343541,42.21653089343542,30235.479425878442,232.19091991389476,1701350427.29418,13792140.642885348,0.007679419156660152,0.6089301913645079
11-9032.00,"Education Administrators, Kindergarten through Secondary",5998869.808296153,52738.554457692306,18.768168846153845,3.776875,81.05875,319630.0,2810.0,11,Management Occupations,104070.0,48.39,124650.0,59.92788461538461,2182502.741055569,19187.287496061537,12.2582512,False,True,True,False,36.38189877095301,36.381898770953,116287.4630415971,1022.3313554637795,12102036278.73901,127433603.45856011,0.008791415073678942,0.6971045536090207
11-9033.00,"Education Administrators, Postsecondary",3399529.7362076924,47210.338134615384,19.269525769230768,3.6974074074074075,66.34962962962963,176420.0,2450.0,11,Management Occupations,103960.0,49.97999999999999,100110.0,48.13,1446023.652996923,20081.385046153846,11.973419999999999,False,False,False,False,42.53599071646947,42.53599071646947,75041.99482199544,1042.131772553502,7801365781.694646,104327811.75033109,0.013887314363450856,1.1011776828904043
11-9041.00,Architectural and Engineering Managers,2924808.6847,34484.76532307693,13.905147307692308,3.346315789473684,80.61105263157894,210340.0,2480.0,11,Management Occupations,167740.0,80.64,149990.0,72.11,606967.5925513847,14315.27340923077,13.775273846153846,False,False,False,False,20.752386155255206,41.5118771292641,43650.569038963804,514.6591766503291,7321946450.595788,77193729.90578286,0.023584905660377353,1.8701363767378232
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4531095.1737,53423.58101538462,21.541766538461538,3.548888888888889,65.62444444444445,210340.0,2480.0,11,Management Occupations,167740.0,80.64,149990.0,72.11,81089.15798815385,1911.3761503846154,5.397771923076923,False,False,False,False,1.7896149800344645,3.57777616935523,3764.2761490044927,44.382451504854714,631419681.2340136,6656923.901213159,0.023571291129497785,1.869056829089139
11-9051.00,Food Service Managers,15459950.063007694,127867.58026153847,63.30078230769231,4.3246153846153845,77.12461538461538,244230.0,2020.0,11,Management Occupations,65310.0,31.4,57450.0,27.62,6590332.767669596,54507.93182939271,44.41716971659919,False,False,False,False,42.62842208940139,42.62842208940138,104111.39526894502,861.0941262059081,6799515225.014799,49469857.55052942,0.00827089219178643,0.6558303254917132
11-9071.00,Gambling Managers,208125.23921538462,2297.486406923077,45.04875307692308,4.254736842105263,70.18,4620.0,51.0,11,Management Occupations,85580.0,41.14,85580.0,41.14,87101.50852224852,961.5101590118344,40.60835547337278,False,True,True,False,41.85052656305126,41.85052656305126,1933.4943272129683,21.34376854715614,165468444.52288583,1826599.7122656226,0.01103896103896104,0.8753209742549501
11-9081.00,Lodging Managers,1749823.7902307692,19254.4093,42.31738307692308,4.142083333333333,84.895,41350.0,455.0,11,Management Occupations,68130.0,32.76,64160.0,30.850000000000005,1129244.9782115386,12425.791175,39.80442923076923,False,False,False,False,64.53478256016922,64.53478256016922,26685.132588629975,293.6332606487699,1818058083.2633603,18839510.003225077,0.011003627569528414,0.8725192498192524
11-9111.00,Medical and Health Services Managers,10661587.530676924,93833.42623846153,18.84205346153846,3.9766666666666666,87.50055555555555,565840.0,4980.0,11,Management Occupations,117960.0,56.71,107980.0,51.91,5929919.803889231,52189.666024615384,14.972551923076923,False,False,False,False,55.61948243473952,55.61948243473953,314717.2794087301,2769.8502252500275,37124050279.0538,299088427.32249796,0.008801074508695036,0.6978704867470397
11-9121.00,Natural Sciences Managers,1200077.1593461537,13681.855192307692,11.897265384615384,3.795,83.3125,100870.0,1150.0,11,Management Occupations,161180.0,77.49,117190.0,56.34,69990.36862569231,2396.5633278461537,11.897265384615384,False,False,False,False,5.8321557143730365,17.516362321928142,5882.895469088082,67.06979071528991,948205091.707617,7859908.773924825,0.03424133027021113,2.71512459063155
11-9121.01,Clinical Research Coordinators,2941782.8445923077,33538.71588461538,29.164100769230767,3.9381818181818184,75.16272727272727,100870.0,1150.0,11,Management Occupations,161180.0,77.49,117190.0,56.34,319002.0515775385,10906.321680615385,27.554781923076924,False,False,False,False,10.843834111139088,32.51860243587396,10938.175467905998,124.70409227809952,1763015121.9170887,14614072.574070483,0.034188876299325086,2.7109653168794767
